model,wma,ema,aux,hospital,seed,dev_roc,dev_pr,ext_roc,ext_pr,ext_bacc
no_wma,0,1,1,liaoning,123,0.5259,0.5293,0.6079,0.4361,0.5225
no_wma,0,1,1,liaoning,2024,0.522,0.5179,0.6314,0.4282,0.5
no_wma,0,1,1,liaoning,3407,0.6086,0.6127,0.6553,0.5062,0.5
no_wma,0,1,1,liaoning,114514,0.6983,0.7195,0.6607,0.4865,0.5066
no_wma,0,1,1,xiangya,42,0.5064,0.5851,0.7139,0.8442,0.6405
no_wma,0,1,1,xiangya,123,0.6037,0.5583,0.6582,0.8082,0.5092
no_wma,0,1,1,xiangya,2024,0.6339,0.5849,0.6343,0.7854,0.5
no_wma,0,1,1,xiangya,3407,0.7157,0.6851,0.6736,0.8376,0.5
no_wma,0,1,1,xiangya,114514,0.4908,0.477,0.6408,0.7917,0.5985
only_aux,0,0,1,huaxi,42,0.83,0.8255,0.5818,0.4948,0.5298
only_aux,0,0,1,huaxi,123,0.7863,0.7717,0.6006,0.481,0.5
only_aux,0,0,1,huaxi,2024,0.8417,0.8668,0.6142,0.4853,0.5026
only_aux,0,0,1,huaxi,3407,0.725,0.7028,0.6,0.4755,0.5
only_aux,0,0,1,huaxi,114514,0.7928,0.8437,0.5756,0.4583,0.5026
only_aux,0,0,1,liaoning,42,0.7981,0.8084,0.6514,0.5005,0.5848
only_aux,0,0,1,liaoning,123,0.7036,0.7294,0.6234,0.461,0.5872
only_aux,0,0,1,liaoning,2024,0.7379,0.7598,0.6532,0.4955,0.6046
only_aux,0,0,1,liaoning,3407,0.7603,0.7456,0.6389,0.5348,0.5607
only_aux,0,0,1,liaoning,114514,0.7954,0.8178,0.59,0.4065,0.5685
only_aux,0,0,1,xiangya,42,0.704,0.6922,0.6726,0.7931,0.5
only_aux,0,0,1,xiangya,123,0.6927,0.6731,0.7517,0.8601,0.5
only_aux,0,0,1,xiangya,2024,0.6886,0.6893,0.6274,0.7777,0.5167
only_aux,0,0,1,xiangya,3407,0.7388,0.7348,0.6527,0.8089,0.5517
only_aux,0,0,1,xiangya,114514,0.6066,0.6536,0.5716,0.7667,0.5
only_ema,0,1,0,huaxi,42,0.5741,0.5562,0.5801,0.4334,0.5026
only_ema,0,1,0,huaxi,123,0.6813,0.6477,0.6091,0.4661,0.5582
only_ema,0,1,0,huaxi,2024,0.7762,0.8015,0.6182,0.49,0.5026
only_ema,0,1,0,huaxi,3407,0.7694,0.8218,0.6108,0.4743,0.5
only_ema,0,1,0,huaxi,114514,0.7992,0.7934,0.5727,0.4667,0.5
only_ema,0,1,0,liaoning,42,0.6533,0.6369,0.6145,0.4725,0.5195
only_ema,0,1,0,liaoning,123,0.5432,0.578,0.6605,0.4883,0.5556
only_ema,0,1,0,liaoning,2024,0.6051,0.6453,0.5942,0.44,0.5
only_ema,0,1,0,liaoning,3407,0.6771,0.6802,0.648,0.4846,0.5
only_ema,0,1,0,liaoning,114514,0.7101,0.7036,0.6096,0.451,0.5159
only_ema,0,1,0,xiangya,42,0.4451,0.4735,0.5945,0.7341,0.5
only_ema,0,1,0,xiangya,123,0.5097,0.5888,0.6617,0.8201,0.5448
only_ema,0,1,0,xiangya,2024,0.5572,0.5313,0.6095,0.7612,0.5
only_ema,0,1,0,xiangya,3407,0.5416,0.4996,0.5269,0.7361,0.5
only_ema,0,1,0,xiangya,114514,0.5008,0.5159,0.6617,0.7675,0.5343
only_wma,1,0,0,huaxi,42,0.7264,0.7369,0.5693,0.4834,0.5011
only_wma,1,0,0,huaxi,123,0.7944,0.7966,0.5744,0.4763,0.5
only_wma,1,0,0,huaxi,2024,0.7821,0.7776,0.5977,0.5132,0.5
only_wma,1,0,0,huaxi,3407,0.8033,0.792,0.6023,0.462,0.5026
only_wma,1,0,0,huaxi,114514,0.816,0.833,0.5847,0.4344,0.5233
only_wma,1,0,0,liaoning,42,0.8582,0.8901,0.6824,0.5114,0.5898
only_wma,1,0,0,liaoning,123,0.8175,0.8459,0.6459,0.5021,0.5835
only_wma,1,0,0,liaoning,2024,0.6905,0.7204,0.6198,0.4628,0.5298
only_wma,1,0,0,liaoning,3407,0.7576,0.7497,0.6273,0.4708,0.5767
only_wma,1,0,0,liaoning,114514,0.825,0.8653,0.6186,0.4993,0.581
only_wma,1,0,0,xiangya,42,0.7109,0.7056,0.7697,0.8757,0.5
only_wma,1,0,0,xiangya,123,0.705,0.6888,0.6856,0.8309,0.5
only_wma,1,0,0,xiangya,2024,0.7487,0.7172,0.5383,0.7596,0.5276
only_wma,1,0,0,xiangya,3407,0.6148,0.6116,0.6831,0.8426,0.5
only_wma,1,0,0,xiangya,114514,0.6998,0.6643,0.5498,0.7442,0.5
